-30	-104
33	-72
23	-64
22	-66
9	-64
-17	-60
-44	-55
-32	70
-65	-46
-36	66
-84	80
-68	-38
42	-28
-6	-26
11	-28
26	-30
65	-10
60	-30
73	-34
44	-13
-99	-72
-78	-61
-111	87
-54	-54
-87	-55
-83	-54
-50	-61
-9	-54
-8	-52
19	-58
46	-65
20	-58
60	-8
-90	24
-47	-91
7	-57
8	-56
130	-21
103	-33
77	-27
18	4
40	-18
29	-19
78	11
35	-18
20	-9
3	-8
-1	-8
4	75
52	-18
38	-14
26	-7
15	-6
10	-5
12	-6
7	26
37	-10
41	-11
28	-6
21	-4
18	-5
-93	88
-107	-1
104	94
109	93
-72	2
-71	41
-70	-16
-63	-50
-47	-94
-81	-85
-79	-58
-33	0
-9	-1
120	-25
121	-24
-18	-6
-58	-7
-87	82
-83	79
-68	-21
-6	53
-7	54
-67	48
-21	15
1	11
0	12
0	12
-1	11
-4	11
5	11
8	14
3	10
-55	-24
-22	-18
18	-44
-38	41
47	94
8	50
-48	55
-81	58
-52	27
-10	-51
5	-88
-83	-83
-96	-83
-50	-58
11	-5
42	26
78	16
101	6
84	12
86	-71
25	2
25	-70
42	-47
0	-37
-6	-29
-17	-8
60	-22
98	-24
80	-23
66	-18
55	-20
-5	67
-17	69
28	62
69	59
28	63
-8	69
-3	-9
13	-7
24	-9
61	-15
111	-25
-27	68
-34	69
9	66
48	60
-10	-36
38	16
-25	3
-46	-49
-28	-49
-30	-49
30	-2
29	-54
20	-55
-12	-52
-15	-52
131	20
80	-61
53	38
36	3
35	-67
-31	6
-73	15
-70	11
-50	7
49	-7
-27	68
-27	68
22	65
62	60
22	64
-26	67
-56	70
-10	68
35	64
75	61
30	64
-12	66
-43	71
45	-72
29	65
46	-72
-51	72
-97	71
116	-43
98	-53
22	9
-8	24
-20	26
-14	23
7	25
22	20
18	18
6	5
-5	-69
-14	11
38	-78
45	-75
-9	-66
-63	-63
-19	-61
29	-42
46	88
-65	-105
-14	4
60	22
48	23
35	19
20	-31
6	-57
-18	-55
-18	-72
45	-76
81	81
62	-40
19	-37
-12	-36
-37	-37
-8	-37
20	-33
-116	-82
40	11
-84	-83
-83	-82
-35	-84
3	93
76	-58
-83	16
-87	15
115	72
112	69
-47	30
-87	-45
-115	-77
-47	-74
10	-1
-30	1
-28	2
20	-48
-37	3
-51	4
-54	-9
-3	25
11	35
100	-91
11	32
-57	49
-82	51
-107	-6
-73	-17
-67	-7
-56	-5
-52	-4
-48	-4
-46	-5
-44	-4
60	-32
34	0
33	-1
124	10
-51	-5
-55	-5
100	-15
-58	-5
-60	-4
-61	-4
70	6
-60	-4
-59	-5
-60	-5
-128	-19
-53	-5
-43	-4
73	49
71	-91
87	-92
-64	60
67	22
-36	-74
-23	-77
6	-86
135	16
-6	-7
-26	11
35	0
3	82
16	56
-56	47
-105	48
-79	47
-34	44
-5	39
13	32
-84	42
-75	35
-110	26
-109	23
-80	15
65	-30
70	-23
55	-32
37	-81
-54	-69
-58	-57
-16	-51
32	-40
51	-44
24	-20
-2	-1
-16	-6
84	24
62	-59
50	-58
12	-56
-65	-88
-63	-90
103	78
59	-67
96	82
49	84
-81	-61
-95	-63
-57	-27
30	-66
36	-68
1	-60
-78	-63
-69	-28
-46	-31
-25	-30
-2	-33
13	-37
36	-34
23	-34
-100	-25
-133	1
-131	85
-35	-77
-12	-74
6	-68
12	-61
17	29
21	26
4	-19
110	-41
-17	-21
-56	-15
-29	-13
-1	-17
-40	-13
-48	-12
-18	-15
12	-17
23	-18
12	-20
-34	-12
-69	-8
-49	-10
-7	-13
31	-16
37	-18
-47	7
-64	11
-69	56
123	-48
24	70
90	14
91	13
90	16
-64	-58
-76	-82
-55	-59
-54	-22
-52	-23
-50	-18
-57	-63
-45	47
-119	-64
121	-104
-92	-72
-106	-69
-44	-51
18	-56
97	25
91	-84
113	78
-50	61
-94	8
-67	-19
136	-34
-19	-36
-63	-28
-34	-20
-16	-9
11	-5
15	-2
-74	10
126	-16
-24	23
-85	35
-55	60
20	61
52	40
42	-55
-12	-27
-25	-78
-34	-12
-8	18
16	39
21	39
15	39
3	30
-17	-1
-24	-17
-22	-18
-104	-13
-102	-68
-92	-47
-40	-59
15	-55
111	32
46	29
-35	40
91	35
-43	47
-102	31
-84	-16
-23	-52
35	-59
49	-61
36	-53
0	-41
-9	-42
-26	-43
2	62
-1	51
-4	50
-4	51
-4	44
-10	-2
-13	-29
-9	-33
4	-34
8	-32
14	-18
11	-11
5	-8
42	-13
44	-13
-5	-7
-103	-4
-74	5
-26	0
19	70
20	71
18	70
-32	-39
-27	-41
-16	-50
4	-36
28	-16
27	-12
-4	10
-6	4
-2	21
-2	38
-3	40
2	33
5	40
-11	-21
-9	-30
-11	-22
13	-40
71	74
13	-17
-29	-23
-41	-18
-15	-22
39	-29
46	-18
36	-18
-23	-13
-40	-10
-28	-10
12	8
-5	-3
81	26
72	44
10	36
93	43
39	49
-94	40
-100	-2
-79	-18
-15	-30
38	-38
49	-36
30	-24
5	-3
-19	0
-14	17
-20	22
-14	21
-2	22
7	22
8	22
6	13
-18	-6
-22	-19
-19	-20
-9	-20
-2	-24
-22	-11
-10	-19
24	-12
36	-2
28	2
-12	10
109	-59
-29	18
-84	25
-66	22
-18	16
21	13
30	10
20	13
5	16
-6	16
-35	2
-18	-4
31	-6
77	-1
68	0
34	1
14	4
-11	5
-6	6
-11	7
-13	4
35	3
36	2
76	9
46	9
-88	-8
-79	-14
-88	-21
136	-33
88	-9
53	-1
36	-86
15	-81
-114	72
-100	39
-29	26
78	54
-92	31
-96	22
-46	-4
-6	-18
24	-20
28	-21
10	-19
1	-13
-7	-5
-7	24
-72	1
-85	13
51	-3
48	-1
-31	9
-12	-7
-34	-8
-20	-70
77	-15
-2	19
-91	29
-77	22
30	2
85	-9
85	-11
43	-7
-17	1
-44	6
-34	4
-7	1
14	-1
15	1
-85	13
-40	22
110	3
107	7
-48	24
-51	26
-32	12
-63	2
-48	-7
16	-23
63	-32
88	-36
26	-25
4	-9
-14	11
-17	12
-14	14
-2	13
3	12
2	12
5	13
4	14
0	10
40	-11
36	-11
19	-69
1	-68
-33	4
-27	16
16	10
47	14
44	14
24	15
-4	18
-17	23
-17	22
-11	24
108	-36
-65	-37
-107	-35
-66	-33
28	5
28	34
22	46
-2	47
-4	49
-20	12
-21	-41
-11	-45
-54	-60
-41	1
-3	7
94	2
118	12
65	7
-14	13
-64	16
-49	15
-40	-47
23	-10
17	1
0	4
-5	4
-12	4
-28	5
100	77
97	76
-109	-12
-5	0
-108	-75
-95	-75
-18	-73
50	-18
68	8
39	25
